Address,City,State,Zipcode,AUTO_UNIQUE_ID_2023-10-11_caitlindatakindorg_ListofProvider,TransactionId,TimeTaken,Source,Version,UpdatedGeocoding,ErrorMessage,Latitude,Longitude,MatchType,FeatureMatchingGeographyType,MicroMatchStatus,MatchScore,GeocodeQualityType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,PenaltyCode,PenaltyCodeSummary,InterpolationType,InterpolationSubType,MatchedLocationType,FeatureMatchingResultType,FeatureMatchingResultCount,FeatureMatchingResultTypeNotes,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,OutputGeocodes,NaaccrCertCode2020,NaaccrCertType2020,GeoLocationID2020,CensusBlock2020,CensusBlockGroup2020,CensusTract2020,CensusCountyFips2020,CensusCbsaFips2020,CensusCbsaMicro2020,CensusMcdFips2020,CensusMetDivFips2020,CensusMsaFips2020,CensusPlaceFips2020,CensusStateFips2020,FNumber,FNumberFractional,FPreDirectional,FPreQualifier,FPreType,FPreArticle,FName,FPostArticle,FSuffix,FPostQualifier,FPostDirectional,FSuiteType,FSuiteNumber,FPostOfficeBoxType,FPostOfficeBoxNumber,FCity,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FArea,FAreaType,FGeometrySRID,FGeometry,FSource,FVintage,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,MNumber,MNumberFractional,MPreDirectional,MPreQualifier,MPreType,MPreArticle,MName,MPostArticle,MSuffix,MPostQualifier,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,PNumber,PNumberFractional,PPreDirectional,PPreQualifier,PPreType,PPreArticle,PName,PPostArticle,PSuffix,PPostQualifier,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5
7453 W. Colonial Drive,,,32818,188,60218d0e-0f08-4bef-aa0b-9f2b341029f6,2.1249494,TAMUGeocoder,5.0.0,1,,28.5521419514616,-81.4833897277212,,StreetSegment,Match,100,,3466.04,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950149042,2000,2,0149.04,095,36740,0,93705,,5960,56825,12,7499-7401,,W,,,,Colonial,,Dr,,,,,,,Pine Hills,,,Winter Garden-Ocoee,Orange,FL,32818,,,,,,3466.04,Meters,0,,Census2016TigerLines,2016,tlid,612146147,,,7453,,W,,,,COLONIAL,,DR,,,,,,,,,,,,FL,32818,,,,,,7453,,W,,,,COLONIAL,,DR,,,,,,,,,,,,FL,32818,,,,,
7429 W COLONIAL DR,,,32818,189,8c6193e5-e22b-4cca-aba1-e154318095e2,0.0937482,TAMUGeocoder,5.0.0,1,,28.5521396971868,-81.4837684871251,,StreetSegment,Match,100,,3466.04,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950149042,2000,2,0149.04,095,36740,0,93705,,5960,56825,12,7499-7401,,W,,,,Colonial,,Dr,,,,,,,Pine Hills,,,Winter Garden-Ocoee,Orange,FL,32818,,,,,,3466.04,Meters,0,,Census2016TigerLines,2016,tlid,612146147,,,7429,,W,,,,COLONIAL,,DR,,,,,,,,,,,,FL,32818,,,,,,7429,,W,,,,COLONIAL,,DR,,,,,,,,,,,,FL,32818,,,,,
8001 Silver Star Rd,,,32818,190,95545022-b08b-4362-948f-da4e5f98c14d,0.0936729,TAMUGeocoder,5.0.0,1,,28.5775002906331,-81.4926019468583,,StreetSegment,Match,100,,8514.36,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950123041,1022,1,0123.04,095,36740,0,92522,,5960,56825,12,7901-8179,,,,,,Silver Star,,Rd,,,,,,,Pine Hills,,,Orlando,Orange,FL,32818,,,,,,8514.36,Meters,0,,Census2016TigerLines,2016,tlid,637879882,,,8001,,,,,,SILVER STAR,,RD,,,,,,,,,,,,FL,32818,,,,,,8001,,,,,,SILVER STAR,,RD,,,,,,,,,,,,FL,32818,,,,,
6837 W COLONIAL DR,,,32818,191,ca9bbdb2-0fc0-4a2d-8fa5-0ca34b7debee,0.0937491,TAMUGeocoder,5.0.0,1,,28.5522023737174,-81.4740118750828,,StreetSegment,Match,100,,3520.02,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950122011,1018,1,0122.01,095,36740,0,92522,,5960,56825,12,6607-6799,,W,,,,Colonial,,Dr,,,,,,,Pine Hills,,,Orlando,Orange,FL,32818,,,,,,3520.02,Meters,0,,Census2016TigerLines,2016,tlid,614298715,,,6837,,W,,,,COLONIAL,,DR,,,,,,,,,,,,FL,32818,,,,,,6837,,W,,,,COLONIAL,,DR,,,,,,,,,,,,FL,32818,,,,,
8550 CLARCONA OCOEE RD,,,32818,192,8d2735ed-cea2-4a91-82fb-1d0f6c8102e9,0.0937548,TAMUGeocoder,5.0.0,1,,28.6124349194685,-81.5021267484495,,StreetSegment,Match,100,,4345.35,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950150061,1000,1,0150.06,095,36740,0,93705,,5960,12675,12,8598-8500,,,,,,Clarcona Ocoee,,Rd,,,,,,,Clarcona,,,Winter Garden-Ocoee,Orange,FL,32818,,,,,,4345.35,Meters,0,,Census2016TigerLines,2016,tlid,94335291,,,8550,,,,,,CLARCONA OCOEE,,RD,,,,,,,,,,,,FL,32818,,,,,,8550,,,,,,CLARCONA OCOEE,,RD,,,,,,,,,,,,FL,32818,,,,,
3311 N Powers Dr,,,32818,193,1d19a6ec-372d-4c92-aed1-ad913f4014ac,0.0781328,TAMUGeocoder,5.0.0,1,,28.5852544186593,-81.4677608084959,,StreetSegment,Match,100,,3337.21,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950123074,4012,4,0123.07,095,36740,0,92522,,5960,56825,12,3293-3411,,N,,,,Powers,,Dr,,,,,,,Pine Hills,,,Orlando,Orange,FL,32818,,,,,,3337.21,Meters,0,,Census2016TigerLines,2016,tlid,633527807,,,3311,,N,,,,POWERS,,DR,,,,,,,,,,,,FL,32818,,,,,,3311,,N,,,,POWERS,,DR,,,,,,,,,,,,FL,32818,,,,,
3933 W.D. Judge Dr. Suite B,,,32818,194,e218d80b-c310-4caa-a415-c210d75da9ad,0.171886,TAMUGeocoder,5.0.0,1,,28.57755,-81.496134,,USPSZip,Non-Match,60,,32015353.24,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950123041,1022,1,0123.04,095,36740,0,92522,,5960,56825,12,,,,,,,,,,,,,,,,Orlando,,,,Orange,FL,32818,,,,,,32015353.24,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32818,,,3933,,W,,,,DJUDGE,,DR,,,UNITSTE,B,,,,,,,,FL,32818,,,,,,3933,,W,,,,DJUDGE,,DR,,,UNITSTE,B,,,,,,,,FL,32818,,,,,
5268 Macadamia Ct,,,32818,195,f7002a92-369f-4058-8d43-dac8daa35a6c,0.1093568,TAMUGeocoder,5.0.0,1,,28.6075128683927,-81.4828584423691,,StreetSegment,Match,100,,7102.9,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950123032,2009,2,0123.03,095,36740,0,92522,,5960,56825,12,5200-5298,,,,,,Macadamia,,Ct,,,,,,,Pine Hills,,,Orlando,Orange,FL,32818,,,,,,7102.9,Meters,0,,Census2016TigerLines,2016,tlid,94268489,,,5268,,,,,,MACADAMIA,,CT,,,,,,,,,,,,FL,32818,,,,,,5268,,,,,,MACADAMIA,,CT,,,,,,,,,,,,FL,32818,,,,,
6700 SILVER STAR RD,,,32818,196,f40c395b-3cff-48f7-ba5c-2647cbfd9420,0.0781297,TAMUGeocoder,5.0.0,1,,28.5776776442842,-81.4720489144791,,StreetSegment,Match,100,,8374.12,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950122012,2002,2,0122.01,095,36740,0,92522,,5960,56825,12,6700-6998,,,,,,Silver Star,,Rd,,,,,,,Pine Hills,,,Orlando,Orange,FL,32818,,,,,,8374.12,Meters,0,,Census2016TigerLines,2016,tlid,638651570,,,6700,,,,,,SILVER STAR,,RD,,,,,,,,,,,,FL,32818,,,,,,6700,,,,,,SILVER STAR,,RD,,,,,,,,,,,,FL,32818,,,,,
609 N POWERS DR,,,32818,197,ec486ea5-4f3e-44ee-98ed-50f7318f1316,0.1093971,TAMUGeocoder,5.0.0,1,,28.5509841365811,-81.4675994813858,,StreetSegment,Match,100,,5369.7,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950147013,3005,3,0147.01,095,36740,0,92522,,5960,53100,12,501-699,,N,,,,Powers,,Dr,,,,,,,Orlovista,,,Orlando,Orange,FL,32818,,,,,,5369.7,Meters,0,,Census2016TigerLines,2016,tlid,637871817,,,609,,N,,,,POWERS,,DR,,,,,,,,,,,,FL,32818,,,,,,609,,N,,,,POWERS,,DR,,,,,,,,,,,,FL,32818,,,,,
6837 LAKEVILLE RD,,,32818,198,8613a81c-d204-4fbe-ae60-96cbb1d19285,0.0937393,TAMUGeocoder,5.0.0,1,,28.6322083257207,-81.480346743311,,StreetSegment,Match,100,,1112.77,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950175042,2031,2,0175.04,095,36740,0,90052,,5960,12675,12,6807-6849,,,,,,Lakeville,,Rd,,,,,,,Clarcona,,,Apopka,Orange,FL,32818,,,,,,1112.77,Meters,0,,Census2010TigerLines,2010,tlid,633383896,,,6837,,,,,,LAKEVILLE,,RD,,,,,,,,,,,,FL,32818,,,,,,6837,,,,,,LAKEVILLE,,RD,,,,,,,,,,,,FL,32818,,,,,
8640 Park Highland Dr,,,32818,199,b1b1fd50-0ce5-4c8d-b2cd-de7f266fec06,0.0937467,TAMUGeocoder,5.0.0,1,,28.565941502759,-81.5023095140596,,StreetSegment,Match,100,,25236.45,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950149091,1010,1,0149.09,095,36740,0,93705,,5960,,12,8500-8698,,,,,,Park Highland,,Dr,,,,,,,Winter Garden-Ocoee,,,Winter Garden-Ocoee,Orange,FL,32818,,,,,,25236.45,Meters,0,,Census2016TigerLines,2016,tlid,94270967,,,8640,,,,,,PARK HIGHLAND,,DR,,,,,,,,,,,,FL,32818,,,,,,8640,,,,,,PARK HIGHLAND,,DR,,,,,,,,,,,,FL,32818,,,,,
6440 W COLONIAL DR,,,32818,200,eab0842c-358e-4874-91a7-7be8fc0e11e5,0.093739,TAMUGeocoder,5.0.0,1,,28.5521218249829,-81.469827544621,,StreetSegment,Match,100,,6347.87,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950147015,5000,5,0147.01,095,36740,0,92522,,5960,53100,12,6300-6498,,W,,,,Colonial,,Dr,,,,,,,Orlovista,,,Orlando,Orange,FL,32818,,,,,,6347.87,Meters,0,,Census2016TigerLines,2016,tlid,94271542,,,6440,,W,,,,COLONIAL,,DR,,,,,,,,,,,,FL,32818,,,,,,6440,,W,,,,COLONIAL,,DR,,,,,,,,,,,,FL,32818,,,,,
8043 Windy Hill Way,,,32818,201,ce73b9e0-6037-4593-b61f-3272a5beda40,0.078118,TAMUGeocoder,5.0.0,1,,28.5624159610328,-81.4961508726975,,StreetSegment,Match,100,,22512.54,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950149091,1007,1,0149.09,095,36740,0,93705,,5960,,12,8199-8001,,,,,,Windy Hill,,Way,,,,,,,Winter Garden-Ocoee,,,Winter Garden-Ocoee,Orange,FL,32818,,,,,,22512.54,Meters,0,,Census2016TigerLines,2016,tlid,94389635,,,8043,,,,,,WINDY HILL,,WAY,,,,,,,,,,,,FL,32818,,,,,,8043,,,,,,WINDY HILL,,WAY,,,,,,,,,,,,FL,32818,,,,,
6844 SILVER STAR RD,,,32818,202,176991ed-d85d-4f64-be93-71d65e89f176,0.0937382,TAMUGeocoder,5.0.0,1,,28.5776385932756,-81.4739854235511,,StreetSegment,Match,100,,8374.12,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950122012,2002,2,0122.01,095,36740,0,92522,,5960,56825,12,6700-6998,,,,,,Silver Star,,Rd,,,,,,,Pine Hills,,,Orlando,Orange,FL,32818,,,,,,8374.12,Meters,0,,Census2016TigerLines,2016,tlid,638651570,,,6844,,,,,,SILVER STAR,,RD,,,,,,,,,,,,FL,32818,,,,,,6844,,,,,,SILVER STAR,,RD,,,,,,,,,,,,FL,32818,,,,,
2625 N HIAWASSEE RD,,,32818,203,9d9a45ab-444c-4b22-b181-86118558addf,0.0937695,TAMUGeocoder,5.0.0,1,,28.5779716954137,-81.4760163322251,,StreetSegment,Match,100,,8589.25,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950123052,2008,2,0123.05,095,36740,0,92522,,5960,56825,12,2601-2873,,N,,,,Hiawassee,,Rd,,,,,,,Pine Hills,,,Orlando,Orange,FL,32818,,,,,,8589.25,Meters,0,,Census2016TigerLines,2016,tlid,612563301,,,2625,,N,,,,HIAWASSEE,,RD,,,,,,,,,,,,FL,32818,,,,,,2625,,N,,,,HIAWASSEE,,RD,,,,,,,,,,,,FL,32818,,,,,
7230 PLEASANT DR,,,32818,204,45aa6f48-0edb-4490-bde1-c8e3eadfe95f,0.093745,TAMUGeocoder,5.0.0,1,,28.5605777821693,-81.4862278235955,,StreetSegment,Match,100,,4073.43,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950149081,1002,1,0149.08,095,36740,0,93705,,5960,56825,12,7222-7298,,,,,,Pleasant,,Dr,,,,,,,Pine Hills,,,Winter Garden-Ocoee,Orange,FL,32818,,,,,,4073.43,Meters,0,,Census2016TigerLines,2016,tlid,94330885,,,7230,,,,,,PLEASANT,,DR,,,,,,,,,,,,FL,32818,,,,,,7230,,,,,,PLEASANT,,DR,,,,,,,,,,,,FL,32818,,,,,
6808,,,32819,205,46b8e615-2db4-4162-811d-2fc3150c1ced,0.1093846,TAMUGeocoder,5.0.0,1,,28.460252,-81.475492,,USPSZip,Non-Match,60,,59793373.17,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZIP,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950148132,2002,2,0148.13,095,36740,0,93198,,5960,53000,12,,,,,,,,,,,,,,,,Orlando,,,,Orange,FL,32819,,,,,,59793373.17,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32819,,,6808,,,,,,,,,,,,,,,,,,,,FL,32819,,,,,,6808,,,,,,,,,,,,,,,,,,,,FL,32819,,,,,
4962 S APOPKA VINELAND RD,,,32819,206,267b731a-8b12-46eb-abbc-d5863a992a2a,0.1406171,TAMUGeocoder,5.0.0,1,,28.4890387892563,-81.5085585802213,,StreetSegment,Match,100,,3779.24,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950148092,2028,2,0148.09,095,36740,0,93198,,5960,37648,12,4998-4964,,S,,,,Apopka Vineland,,Rd,,,,,,,Lake Butler,,,Southwest Orange,Orange,FL,32819,,,,,,3779.24,Meters,0,,Census2016TigerLines,2016,tlid,94271965,,,4962,,S,,,,APOPKA VINELAND,,RD,,,,,,,,,,,,FL,32819,,,,,,4962,,S,,,,APOPKA VINELAND,,RD,,,,,,,,,,,,FL,32819,,,,,
5715 Turkey Lake Road,,,32819,207,0235aa13-7e30-43d3-88e7-44ed2154a5c7,0.1406225,TAMUGeocoder,5.0.0,1,,28.4810711959214,-81.4756218025327,,StreetSegment,Match,100,,2072.15,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950148122,2015,2,0148.12,095,36740,0,93198,,5960,,12,5701-5753,,,,,,Turkey Lake,,Rd,,,,,,,Southwest Orange,,,Southwest Orange,Orange,FL,32819,,,,,,2072.15,Meters,0,,Census2016TigerLines,2016,tlid,94358453,,,5715,,,,,,TURKEY LAKE,,RD,,,,,,,,,,,,FL,32819,,,,,,5715,,,,,,TURKEY LAKE,,RD,,,,,,,,,,,,FL,32819,,,,,
7113 WALLACE RD,,,32819,208,2adcdc7e-4903-46ec-8716-cd43879135f8,0.0937355,TAMUGeocoder,5.0.0,1,,28.4624561152481,-81.4757913302018,,StreetSegment,Review,94.0828402366864,,2277.17,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950148114,4002,4,0148.11,095,36740,0,93198,,5960,17725,12,7213-7101,,,,,,Wallace,,Dr,,,,,,,Orlando,,,Southwest Orange,Orange,FL,32819,,,,,,2277.17,Meters,0,,Census2016TigerLines,2016,tlid,94401559,,,7113,,,,,,WALLACE,,RD,,,,,,,,,,,,FL,32819,,,,,,7113,,,,,,WALLACE,,RD,,,,,,,,,,,,FL,32819,,,,,
4700 LINCOLN AVE,,,32819,209,6a4431bd-9527-4f58-a3ea-07de49a9400b,0.0937212,TAMUGeocoder,5.0.0,1,,28.4930381242695,-81.5002216166501,,StreetSegment,Match,100,,2811.41,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950148102,2002,2,0148.10,095,36740,0,93198,,5960,,12,4600-4798,,,,,,Lincoln,,Ave,,,,,,,Southwest Orange,,,Southwest Orange,Orange,FL,32819,,,,,,2811.41,Meters,0,,Census2016TigerLines,2016,tlid,94271923,,,4700,,,,,,LINCOLN,,AVE,,,,,,,,,,,,FL,32819,,,,,,4700,,,,,,LINCOLN,,AVE,,,,,,,,,,,,FL,32819,,,,,
5021 Pueblo St,,,32819,210,cc65854e-fd5f-4eda-a94e-06c03c9a61ef,0.1093925,TAMUGeocoder,5.0.0,1,,28.4597647502716,-81.4475325514488,,StreetSegment,Match,100,,1892.05,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950170012,2011,2,0170.01,095,36740,0,93198,,5960,71075,12,5001-5037,,,,,,Pueblo,,St,,,,,,,Tangelo Park,,,Southwest Orange,Orange,FL,32819,,,,,,1892.05,Meters,0,,Census2016TigerLines,2016,tlid,94289496,,,5021,,,,,,PUEBLO,,ST,,,,,,,,,,,,FL,32819,,,,,,5021,,,,,,PUEBLO,,ST,,,,,,,,,,,,FL,32819,,,,,
5027 Caserta St,,,32819,211,d21841f1-585c-421a-99c6-a9e2e3f98ce6,0.1249913,TAMUGeocoder,5.0.0,1,,28.4550007008711,-81.4479037983896,,StreetSegment,Match,100,,1113.11,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950170012,2023,2,0170.01,095,36740,0,93198,,5960,71075,12,5021-5099,,,,,,Caserta,,St,,,,,,,Tangelo Park,,,Southwest Orange,Orange,FL,32819,,,,,,1113.11,Meters,0,,Census2016TigerLines,2016,tlid,94289508,,,5027,,,,,,CASERTA,,ST,,,,,,,,,,,,FL,32819,,,,,,5027,,,,,,CASERTA,,ST,,,,,,,,,,,,FL,32819,,,,,
7606 AREZZO AVE,,,32819,212,57fb5678-8114-45fd-88d2-fbd9fe321ce0,0.0624837,TAMUGeocoder,5.0.0,1,,28.4548776397294,-81.4487386430894,,StreetSegment,Match,100,,5287.7,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950170012,2027,2,0170.01,095,36740,0,93198,,5960,71075,12,7600-7798,,,,,,Arezzo,,Ave,,,,,,,Tangelo Park,,,Southwest Orange,Orange,FL,32819,,,,,,5287.7,Meters,0,,Census2016TigerLines,2016,tlid,94289507,,,7606,,,,,,AREZZO,,AVE,,,,,,,,,,,,FL,32819,,,,,,7606,,,,,,AREZZO,,AVE,,,,,,,,,,,,FL,32819,,,,,
5115 Anzio St,,,32819,213,05942722-1bc3-4d4e-9d06-6e026feaa839,0.0624943,TAMUGeocoder,5.0.0,1,,28.45573418437,-81.4485802502675,,StreetSegment,Match,100,,4280.1,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950170012,2015,2,0170.01,095,36740,0,93198,,5960,71075,12,5101-5199,,,,,,Anzio,,St,,,,,,,Tangelo Park,,,Southwest Orange,Orange,FL,32819,,,,,,4280.1,Meters,0,,Census2016TigerLines,2016,tlid,94289490,,,5115,,,,,,ANZIO,,ST,,,,,,,,,,,,FL,32819,,,,,,5115,,,,,,ANZIO,,ST,,,,,,,,,,,,FL,32819,,,,,
4851 S APOPKA VINELAND RD,,,32819,214,ae2aee44-0f2d-4a00-b704-8e4186221338,0.0781213,TAMUGeocoder,5.0.0,1,,28.4914666038874,-81.5084743498126,,StreetSegment,Match,100,,4738.57,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950148102,2002,2,0148.10,095,36740,0,93198,,5960,,12,4865-4801,,S,,,,Apopka Vineland,,Rd,,,,,,,Southwest Orange,,,Southwest Orange,Orange,FL,32819,,,,,,4738.57,Meters,0,,Census2016TigerLines,2016,tlid,606123473,,,4851,,S,,,,APOPKA VINELAND,,RD,,,,,,,,,,,,FL,32819,,,,,,4851,,S,,,,APOPKA VINELAND,,RD,,,,,,,,,,,,FL,32819,,,,,
8004 Banyan Blvd,,,32819,215,c3a246d2-481e-4ebb-b4e1-00df9cd19d74,0.140585,TAMUGeocoder,5.0.0,1,,28.460252,-81.475492,,USPSZip,Non-Match,60,,59793373.17,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950148132,2002,2,0148.13,095,36740,0,93198,,5960,53000,12,,,,,,,,,,,,,,,,Orlando,,,,Orange,FL,32819,,,,,,59793373.17,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32819,,,8004,,,,,,BANYAN,,BLVD,,,,,,,,,,,,FL,32819,,,,,,8004,,,,,,BANYAN,,BLVD,,,,,,,,,,,,FL,32819,,,,,
7350 FUTURES DR STE 6,,,32819,216,c8e49619-43e6-4d7e-a8c7-067900d2bf96,0.1406303,TAMUGeocoder,5.0.0,1,,28.4411331917501,-81.4289496169323,,StreetSegment,Match,100,,11312.57,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950170013,3006,3,0170.01,095,36740,0,93198,,5960,,12,7300-7598,,,,,,Futures,,Dr,,,,,,,Southwest Orange,,,Southwest Orange,Orange,FL,32819,,,,,,11312.57,Meters,0,,Census2016TigerLines,2016,tlid,94424123,,,7350,,,,,,FUTURES,,DR,,,UNITSTE,6,,,,,,,,FL,32819,,,,,,7350,,,,,,FUTURES,,DR,,,UNITSTE,6,,,,,,,,FL,32819,,,,,
